Human Evaluation Form MOS Key
===============================

This file maps anonymized Translation A/B/C labels back to model names.
Do not share this file with annotators before scoring.

Item 001 | ar-hi | line 52 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 002 | ar-hi | line 62 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 003 | ar-hi | line 66 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 004 | ar-hi | line 179 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 005 | ar-hi | line 192 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 006 | ar-hi | line 210 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 007 | ar-hi | line 229 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 008 | ar-hi | line 286 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 009 | ar-hi | line 448 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 010 | ar-hi | line 458 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 011 | ar-hi | line 477 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 012 | ar-hi | line 502 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 013 | ar-hi | line 564 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 014 | ar-hi | line 865 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 015 | ar-hi | line 1035 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 016 | ar-hi | line 1117 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 017 | ar-hi | line 1210 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 018 | ar-hi | line 1233 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 019 | ar-hi | line 1310 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 020 | ar-hi | line 1386 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 021 | hi-ar | line 52 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 022 | hi-ar | line 62 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 023 | hi-ar | line 66 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 024 | hi-ar | line 179 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 025 | hi-ar | line 192 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 026 | hi-ar | line 210 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 027 | hi-ar | line 229 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 028 | hi-ar | line 286 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 029 | hi-ar | line 448 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 030 | hi-ar | line 458 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 031 | hi-ar | line 477 | A=MADLAD | B=NLLB | C=GEMMAX2
Item 032 | hi-ar | line 502 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 033 | hi-ar | line 564 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 034 | hi-ar | line 865 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 035 | hi-ar | line 1035 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 036 | hi-ar | line 1117 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 037 | hi-ar | line 1210 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 038 | hi-ar | line 1233 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 039 | hi-ar | line 1310 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 040 | hi-ar | line 1386 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 041 | ar-en | line 52 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 042 | ar-en | line 62 | A=GEMMAX2 | B=MADLAD | C=NLLB
Item 043 | ar-en | line 66 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 044 | ar-en | line 179 | A=MADLAD | B=GEMMAX2 | C=NLLB
Item 045 | ar-en | line 192 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 046 | ar-en | line 210 | A=NLLB | B=MADLAD | C=GEMMAX2
Item 047 | ar-en | line 229 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 048 | ar-en | line 286 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 049 | ar-en | line 448 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 050 | ar-en | line 458 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 051 | ar-en | line 477 | A=NLLB | B=GEMMAX2 | C=MADLAD
Item 052 | ar-en | line 502 | A=GEMMAX2 | B=NLLB | C=MADLAD
Item 053 | ar-en | line 564 | A=NLLB | B=GEMMAX2 | C=MADLAD
