direction,split,language,token,frequency
ar-en/ar,dev,ar,جنينة,16
ar-en/ar,dev,ar,سايكس,8
ar-en/ar,dev,ar,بيكو,7
ar-en/ar,dev,ar,"القوة""",6
ar-en/ar,dev,ar,أوكسيدنتال,5
ar-en/ar,dev,ar,والصغيرة,4
ar-en/ar,dev,ar,القبرصي,4
ar-en/ar,dev,ar,"""إل.إن.جي",4
ar-en/ar,dev,ar,يؤخر,4
ar-en/ar,dev,ar,مصابا,4
ar-en/ar,dev,ar,"""ريمات",4
ar-en/ar,dev,ar,"للتنمية""",4
ar-en/ar,dev,ar,"أوشن""",4
ar-en/ar,dev,ar,"""ماينور""",4
ar-en/ar,dev,ar,"""صن",4
ar-en/ar,dev,ar,"رايز""",4
ar-en/ar,dev,ar,عائمة,4
ar-en/ar,dev,ar,ومتناهية,3
ar-en/ar,dev,ar,الصغر,3
ar-en/ar,dev,ar,الموسوعة,3
ar-en/ar,dev,ar,وأبوظبي,3
ar-en/ar,dev,ar,للانسحاب,3
ar-en/ar,dev,ar,أمهل,3
ar-en/ar,dev,ar,درهم.,3
ar-en/ar,dev,ar,"الأمد""",3
ar-en/ar,dev,ar,كلنا,3
ar-en/ar,dev,ar,المعاودة,3
ar-en/ar,dev,ar,سيارةً,3
ar-en/ar,dev,ar,المفاوضين,3
ar-en/ar,dev,ar,"كندا""",3
ar-en/ar,dev,ar,العفالق،,3
ar-en/ar,dev,ar,"""الريتينال""",3
ar-en/ar,dev,ar,بتروليوم,3
ar-en/ar,dev,ar,العُماني,3
ar-en/ar,dev,ar,أوسيمين,3
ar-en/ar,dev,ar,شخصياً،,3
ar-en/ar,dev,ar,"""ميد",3
ar-en/ar,dev,ar,فندقًا,3
ar-en/ar,dev,ar,مطحنة,3
ar-en/ar,dev,ar,ملحوظا،,3
ar-en/ar,dev,ar,المشغلة,3
ar-en/ar,dev,ar,الآجال,3
ar-en/ar,dev,ar,وشريحة,3
ar-en/ar,dev,ar,"""غطرسة",3
ar-en/ar,dev,ar,"التركي""",3
ar-en/ar,dev,ar,المكتسبات,3
ar-en/ar,dev,ar,حائل,3
ar-en/ar,dev,ar,"""ويكيبيديا""",3
ar-en/ar,dev,ar,للبشرة,3
ar-en/ar,dev,ar,"""نيوز",3
ar-en/ar,dev,ar,إكسينوس,3
ar-en/ar,dev,ar,الحجز،,3
ar-en/ar,dev,ar,بطلتنا,2
ar-en/ar,dev,ar,البلطيق،,2
ar-en/ar,dev,ar,المُقاس,2
ar-en/ar,dev,ar,بمشاكل,2
ar-en/ar,dev,ar,بتزويد,2
ar-en/ar,dev,ar,خطي,2
ar-en/ar,dev,ar,غارناتشو,2
ar-en/ar,dev,ar,الأيمن،,2
ar-en/ar,dev,ar,الاتفاقيتان,2
ar-en/ar,dev,ar,"القابضة""،",2
ar-en/ar,dev,ar,"""تحسنا",2
ar-en/ar,dev,ar,"هائلا""",2
ar-en/ar,dev,ar,وسدد,2
ar-en/ar,dev,ar,وإطالة,2
ar-en/ar,dev,ar,المرض،,2
ar-en/ar,dev,ar,لويكيبيديا,2
ar-en/ar,dev,ar,"""إكس.أيه.أي""،",2
ar-en/ar,dev,ar,معلنا,2
ar-en/ar,dev,ar,أداءها,2
ar-en/ar,dev,ar,متوقعةً,2
ar-en/ar,dev,ar,أسبوعيا,2
ar-en/ar,dev,ar,الدولارية،,2
ar-en/ar,dev,ar,5.25,2
ar-en/ar,dev,ar,بخماسية,2
ar-en/ar,dev,ar,غللو,2
ar-en/ar,dev,ar,ديدي,2
ar-en/ar,dev,ar,احترازي.,2
ar-en/ar,dev,ar,يفض,2
ar-en/ar,dev,ar,السعد،,2
ar-en/ar,dev,ar,اليدين,2
ar-en/ar,dev,ar,والحرص,2
ar-en/ar,dev,ar,مينيرال,2
ar-en/ar,dev,ar,"ريسورسز""",2
ar-en/ar,dev,ar,إلكترون,2
ar-en/ar,dev,ar,بكورونا,2
ar-en/ar,dev,ar,عطائه,2
ar-en/ar,dev,ar,ومدربًا,2
ar-en/ar,dev,ar,ومربيًا,2
ar-en/ar,dev,ar,ومعلمًا,2
ar-en/ar,dev,ar,سلافيا,2
ar-en/ar,dev,ar,الامتلاء,2
ar-en/ar,dev,ar,إيال,2
ar-en/ar,dev,ar,زامير،,2
ar-en/ar,dev,ar,بمقاتلي,2
ar-en/ar,dev,ar,"أحرونوت"".",2
ar-en/ar,dev,ar,تقلبًا,2
ar-en/ar,dev,ar,بترايوس,2
ar-en/ar,dev,ar,(إسرائيل,2
ar-en/ar,dev,ar,وحماس).,2
ar-en/ar,dev,ar,نتلشير,2
ar-en/ar,dev,ar,لوتنيك:,2
ar-en/ar,dev,ar,"""ميني",2
ar-en/ar,dev,ar,كونتري,2
ar-en/ar,dev,ar,مان,2
ar-en/ar,dev,ar,إكس.أيه.أي،,2
ar-en/ar,dev,ar,"""يسعى",2
ar-en/ar,dev,ar,للحقيقة,2
ar-en/ar,dev,ar,حد.,2
ar-en/ar,dev,ar,النقوش,2
ar-en/ar,dev,ar,شرطيان,2
ar-en/ar,dev,ar,ضعيفاً،,2
ar-en/ar,dev,ar,"""الريتينول""",2
ar-en/ar,dev,ar,جاكسون,2
ar-en/ar,dev,ar,الدقائق,2
ar-en/ar,dev,ar,المتّحدة.,2
ar-en/ar,dev,ar,النوويةالتي,2
ar-en/ar,dev,ar,والإمبراطورية,2
ar-en/ar,dev,ar,تسيفيليوف،,2
ar-en/ar,dev,ar,جنيها،,2
ar-en/ar,dev,ar,الفجيرة,2
ar-en/ar,dev,ar,الربعي,2
ar-en/ar,dev,ar,والتطلعات,2
ar-en/ar,dev,ar,هوجو,2
ar-en/ar,dev,ar,إيكيتيكي,2
ar-en/ar,dev,ar,"""قوة",2
ar-en/ar,dev,ar,"مؤقتة""،",2
ar-en/ar,dev,ar,وعضوية,2
ar-en/ar,dev,ar,مهاجراني,2
ar-en/ar,dev,ar,أينتراخت,2
ar-en/ar,dev,ar,(آي.إف.آر),2
ar-en/ar,dev,ar,لأخبار,2
ar-en/ar,dev,ar,1916،,2
ar-en/ar,dev,ar,منحاز,2
ar-en/ar,dev,ar,1-صفر,2
ar-en/ar,dev,ar,ويكيبيديا،,2
ar-en/ar,dev,ar,الصرففي,2
ar-en/ar,dev,ar,مامارداشفيلي,2
ar-en/ar,dev,ar,56.,2
ar-en/ar,dev,ar,بريمر,2
ar-en/ar,dev,ar,"الرياض""،",2
ar-en/ar,dev,ar,فتمثلت,2
ar-en/ar,dev,ar,الواعدة،,2
ar-en/ar,dev,ar,السيبرانية:,2
ar-en/ar,dev,ar,اللوجستية.,2
ar-en/ar,dev,ar,الساعد،,2
ar-en/ar,dev,ar,وملخصًا,2
ar-en/ar,dev,ar,النازيين,2
ar-en/ar,dev,ar,بتروناس,2
ar-en/ar,dev,ar,وأحجمت,2
ar-en/ar,dev,ar,أساهي,2
ar-en/ar,dev,ar,بديلا,2
ar-en/ar,dev,ar,للدقيق,2
ar-en/ar,dev,ar,للأعلاف,2
ar-en/ar,dev,ar,أدركا,2
ar-en/ar,dev,ar,المناعة،,2
ar-en/ar,dev,ar,أظهروا,2
ar-en/ar,dev,ar,وانخفاضًا,2
ar-en/ar,dev,ar,أمامية,2
ar-en/ar,dev,ar,يجسّد,2
ar-en/ar,dev,ar,"ميتال""",2
ar-en/ar,dev,ar,"""محافظ",2
ar-en/ar,dev,ar,"الاستحقاق""",2
ar-en/ar,dev,ar,هاكانن,2
ar-en/ar,dev,ar,"""درع",2
ar-en/ar,dev,ar,ستنقلونها,2
ar-en/ar,dev,ar,"""الكونغرس""",2
ar-en/ar,dev,ar,وازدهار,2
ar-en/ar,dev,ar,"""مدار",2
ar-en/ar,dev,ar,"""أزهى",2
ar-en/ar,dev,ar,"الحكمة""،",2
ar-en/ar,dev,ar,"السخنة""،",2
ar-en/ar,dev,ar,كرسيه,2
ar-en/ar,dev,ar,سهماً,2
ar-en/ar,dev,ar,أرطاوي,2
ar-en/ar,dev,ar,الثانوي،,2
ar-en/ar,dev,ar,للخلف،,2
ar-en/ar,dev,ar,للتحضير,2
