evaluation_item,direction,sample_number_in_direction,original_line,translation_a_model,translation_b_model,translation_c_model
1,ar-hi,1,52,GEMMAX2,MADLAD,NLLB
2,ar-hi,2,62,MADLAD,NLLB,GEMMAX2
3,ar-hi,3,66,GEMMAX2,MADLAD,NLLB
4,ar-hi,4,179,NLLB,MADLAD,GEMMAX2
5,ar-hi,5,192,NLLB,MADLAD,GEMMAX2
6,ar-hi,6,210,MADLAD,GEMMAX2,NLLB
7,ar-hi,7,229,MADLAD,NLLB,GEMMAX2
8,ar-hi,8,286,GEMMAX2,MADLAD,NLLB
9,ar-hi,9,448,GEMMAX2,MADLAD,NLLB
10,ar-hi,10,458,GEMMAX2,MADLAD,NLLB
11,ar-hi,11,477,NLLB,MADLAD,GEMMAX2
12,ar-hi,12,502,GEMMAX2,MADLAD,NLLB
13,ar-hi,13,564,NLLB,GEMMAX2,MADLAD
14,ar-hi,14,865,NLLB,GEMMAX2,MADLAD
15,ar-hi,15,1035,MADLAD,NLLB,GEMMAX2
16,ar-hi,16,1117,NLLB,MADLAD,GEMMAX2
17,ar-hi,17,1210,GEMMAX2,MADLAD,NLLB
18,ar-hi,18,1233,NLLB,GEMMAX2,MADLAD
19,ar-hi,19,1310,GEMMAX2,MADLAD,NLLB
20,ar-hi,20,1386,GEMMAX2,MADLAD,NLLB
21,hi-ar,1,52,NLLB,GEMMAX2,MADLAD
22,hi-ar,2,62,GEMMAX2,NLLB,MADLAD
23,hi-ar,3,66,NLLB,GEMMAX2,MADLAD
24,hi-ar,4,179,GEMMAX2,MADLAD,NLLB
25,hi-ar,5,192,NLLB,MADLAD,GEMMAX2
26,hi-ar,6,210,NLLB,GEMMAX2,MADLAD
27,hi-ar,7,229,NLLB,GEMMAX2,MADLAD
28,hi-ar,8,286,MADLAD,NLLB,GEMMAX2
29,hi-ar,9,448,MADLAD,NLLB,GEMMAX2
30,hi-ar,10,458,MADLAD,GEMMAX2,NLLB
31,hi-ar,11,477,MADLAD,NLLB,GEMMAX2
32,hi-ar,12,502,NLLB,MADLAD,GEMMAX2
33,hi-ar,13,564,GEMMAX2,NLLB,MADLAD
34,hi-ar,14,865,GEMMAX2,NLLB,MADLAD
35,hi-ar,15,1035,GEMMAX2,MADLAD,NLLB
36,hi-ar,16,1117,NLLB,MADLAD,GEMMAX2
37,hi-ar,17,1210,NLLB,MADLAD,GEMMAX2
38,hi-ar,18,1233,NLLB,MADLAD,GEMMAX2
39,hi-ar,19,1310,NLLB,MADLAD,GEMMAX2
40,hi-ar,20,1386,NLLB,MADLAD,GEMMAX2
41,ar-en,1,52,NLLB,GEMMAX2,MADLAD
42,ar-en,2,62,GEMMAX2,MADLAD,NLLB
43,ar-en,3,66,GEMMAX2,NLLB,MADLAD
44,ar-en,4,179,MADLAD,GEMMAX2,NLLB
45,ar-en,5,192,NLLB,MADLAD,GEMMAX2
46,ar-en,6,210,NLLB,MADLAD,GEMMAX2
47,ar-en,7,229,GEMMAX2,NLLB,MADLAD
48,ar-en,8,286,NLLB,GEMMAX2,MADLAD
49,ar-en,9,448,NLLB,GEMMAX2,MADLAD
50,ar-en,10,458,GEMMAX2,NLLB,MADLAD
51,ar-en,11,477,NLLB,GEMMAX2,MADLAD
52,ar-en,12,502,GEMMAX2,NLLB,MADLAD
53,ar-en,13,564,NLLB,GEMMAX2,MADLAD
54,ar-en,14,865,GEMMAX2,NLLB,MADLAD
55,ar-en,15,1035,NLLB,GEMMAX2,MADLAD
56,ar-en,16,1117,GEMMAX2,MADLAD,NLLB
57,ar-en,17,1210,NLLB,GEMMAX2,MADLAD
58,ar-en,18,1233,MADLAD,GEMMAX2,NLLB
59,ar-en,19,1310,NLLB,MADLAD,GEMMAX2
60,ar-en,20,1386,GEMMAX2,MADLAD,NLLB
61,en-ar,1,52,MADLAD,GEMMAX2,NLLB
62,en-ar,2,62,GEMMAX2,MADLAD,NLLB
63,en-ar,3,66,MADLAD,NLLB,GEMMAX2
64,en-ar,4,179,MADLAD,NLLB,GEMMAX2
65,en-ar,5,192,MADLAD,GEMMAX2,NLLB
66,en-ar,6,210,MADLAD,NLLB,GEMMAX2
67,en-ar,7,229,NLLB,MADLAD,GEMMAX2
68,en-ar,8,286,NLLB,MADLAD,GEMMAX2
69,en-ar,9,448,MADLAD,GEMMAX2,NLLB
70,en-ar,10,458,NLLB,GEMMAX2,MADLAD
71,en-ar,11,477,MADLAD,NLLB,GEMMAX2
72,en-ar,12,502,MADLAD,NLLB,GEMMAX2
73,en-ar,13,564,GEMMAX2,NLLB,MADLAD
