evaluation_item,direction,sample_number_in_direction,original_line,original_full_form_item,translation_a_model,translation_b_model,translation_c_model
1,ar-hi,1,52,1,GEMMAX2,MADLAD,NLLB
2,ar-hi,2,62,2,MADLAD,NLLB,GEMMAX2
3,ar-hi,3,66,3,GEMMAX2,MADLAD,NLLB
4,ar-hi,4,179,4,NLLB,MADLAD,GEMMAX2
5,ar-hi,5,192,5,NLLB,MADLAD,GEMMAX2
6,hi-ar,1,52,21,NLLB,GEMMAX2,MADLAD
7,hi-ar,2,62,22,GEMMAX2,NLLB,MADLAD
8,hi-ar,3,66,23,NLLB,GEMMAX2,MADLAD
9,hi-ar,4,179,24,GEMMAX2,MADLAD,NLLB
10,hi-ar,5,192,25,NLLB,MADLAD,GEMMAX2
11,ar-en,1,52,41,NLLB,GEMMAX2,MADLAD
12,ar-en,2,62,42,GEMMAX2,MADLAD,NLLB
13,ar-en,3,66,43,GEMMAX2,NLLB,MADLAD
14,ar-en,4,179,44,MADLAD,GEMMAX2,NLLB
15,ar-en,5,192,45,NLLB,MADLAD,GEMMAX2
16,en-ar,1,52,61,MADLAD,GEMMAX2,NLLB
17,en-ar,2,62,62,GEMMAX2,MADLAD,NLLB
18,en-ar,3,66,63,MADLAD,NLLB,GEMMAX2
19,en-ar,4,179,64,MADLAD,NLLB,GEMMAX2
20,en-ar,5,192,65,MADLAD,GEMMAX2,NLLB
21,ar-ur,1,52,81,GEMMAX2,NLLB,MADLAD
22,ar-ur,2,62,82,GEMMAX2,MADLAD,NLLB
23,ar-ur,3,66,83,MADLAD,GEMMAX2,NLLB
24,ar-ur,4,179,84,NLLB,GEMMAX2,MADLAD
25,ar-ur,5,192,85,MADLAD,GEMMAX2,NLLB
26,ur-ar,1,52,101,MADLAD,GEMMAX2,NLLB
27,ur-ar,2,62,102,MADLAD,NLLB,GEMMAX2
28,ur-ar,3,66,103,MADLAD,GEMMAX2,NLLB
29,ur-ar,4,179,104,NLLB,GEMMAX2,MADLAD
30,ur-ar,5,192,105,NLLB,GEMMAX2,MADLAD
